Date,HomeTeam,AwayTeam,FTR,Season,played,BTTS,Time,HTREND,HTREND2,HTREND3,HTREND4,HTREND5,ATREND,ATREND2,ATREND3,ATREND4,ATREND5,HPOINT,APOINT,HLM,ALM,HLM_1,ALM_1,AAG_1,HAG_1,HSc_1,ASc_1,HLM_2,ALM_2,AAG_2,HAG_2,HSc_2,ASc_2,HLM_3,ALM_3,AAG_3,HAG_3,HSc_3,ASc_3,HLM_4,ALM_4,AAG_4,HAG_4,HSc_4,ASc_4,HLM_5,ALM_5,AAG_5,HAG_5,HSc_5,ASc_5,ACUM,HCUM,AAG,HAG,AAGC,HAGC,UO25
2012-10-26,6,27,H,1213,1,0.0,0,1.0,1.0,1.0,4.0,7.0,1.0,1.0,4.0,7.0,8.0,11.0,12.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,3.0,1.0,1.0,6.0,10.0,0.0,0.0,0.0,0.0,0
2012-10-26,22,0,H,1213,1,0.0,0,3.0,4.0,5.0,5.0,8.0,1.0,1.0,4.0,7.0,10.0,11.0,7.0,3,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,9.0,5.0,0.0,1.0,1.0,0.0,0
2012-10-27,5,20,D,1213,1,1.0,0,3.0,6.0,7.0,10.0,11.0,3.0,6.0,7.0,10.0,11.0,11.0,16.0,1,1,3.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,8.0,15.0,2.0,3.0,3.0,2.0,0
2012-10-27,33,9,A,1213,1,0.0,0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,4.0,4.0,5.0,1.0,2.0,0,3,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,8.0,1.0,1.0,1.0,1.0,0
2012-10-28,37,29,A,1213,1,0.0,0,3.0,4.0,7.0,8.0,11.0,1.0,2.0,2.0,2.0,5.0,6.0,7.0,0,3,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,9.0,1.0,1.0,1.0,1.0,0
2012-11-02,5,33,H,1213,1,1.0,0,1.0,4.0,7.0,8.0,11.0,0.0,0.0,3.0,3.0,3.0,12.0,8.0,3,0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,16.0,1.0,2.0,1.0,1.5,1
2012-11-02,20,22,D,1213,1,0.0,0,1.0,4.0,7.0,8.0,11.0,3.0,6.0,7.0,8.0,8.0,6.0,8.0,1,1,3.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,11.0,13.0,2.0,3.0,3.0,2.0,0
2012-11-02,31,29,A,1213,1,0.0,0,0.0,0.0,0.0,3.0,6.0,3.0,4.0,5.0,5.0,5.0,3.0,10.0,0,3,0.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,8.0,6.0,1.0,2.0,1.5,1.0,0
2012-11-03,9,13,A,1213,1,1.0,0,3.0,3.0,6.0,7.0,7.0,3.0,3.0,4.0,4.0,4.0,6.0,13.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,1
2012-11-03,27,34,A,1213,1,0.0,0,0.0,1.0,1.0,4.0,7.0,3.0,4.0,5.0,5.0,5.0,5.0,9.0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,11.0,1.0,1.0,1.0,1.0,0
