Date,HomeTeam,AwayTeam,FTR,Season,played,Time,HTREND,HTREND2,HTREND3,HTREND4,HTREND5,ATREND,ATREND2,ATREND3,ATREND4,ATREND5,HPOINT,APOINT,HLM,ALM,HLM_1,ALM_1,AAG_1,HAG_1,AAGC_1,HAGC_1,HLM_2,ALM_2,AAG_2,HAG_2,AAGC_2,HAGC_2,HLM_3,ALM_3,AAG_3,HAG_3,AAGC_3,HAGC_3,HLM_4,ALM_4,AAG_4,HAG_4,AAGC_4,HAGC_4,HLM_5,ALM_5,AAG_5,HAG_5,AAGC_5,HAGC_5,ACUM,HCUM,AAG,HAG,AAGC,HAGC,UO25
2013-10-26 00:00:00,0,5,A,1314,1,0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,8.0,0,3,0.0,3.0,4.0,0.0,1.0,4.0,3.0,0.0,1.0,3.0,5.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,8.0,6.0,4.0,0.0,1.0,4.0,0
2013-10-26 00:00:00,6,4,H,1314,1,0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,4.0,12.0,3,0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,5.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,8.0,0.0,3.0,2.0,0.0,1
2013-10-26 00:00:00,10,20,A,1314,1,0,3.0,0.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,18.0,0,3,0.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,3.0,3.0,6.0,2.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,3.0,15.0,6.0,4.0,1.0,3.0,4.0,1
2013-10-26 00:00:00,21,11,D,1314,1,0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,7.0,4.0,1,1,3.0,3.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,6.0,8.0,2.0,3.0,0.0,2.0,0
2013-11-09 00:00:00,4,10,D,1314,1,0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,3.0,0.0,6.0,1,1,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,9.0,2.0,3.0,1.0,2.0,1
2013-11-09 00:00:00,9,21,H,1314,1,0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,10.0,11.0,3,0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,5.0,8.0,0.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,9.0,9.0,0.0,1.0,1.0,0.0,1
2013-11-09 00:00:00,11,6,H,1314,1,0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,7.0,8.0,3,0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,0
2013-11-09 00:00:00,20,0,H,1314,1,0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,15.0,6.0,3,0,3.0,0.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,8.0,1.0,0.0,3.0,0.0,1.0,5.0,2.0,1.0,3.0,1.0,2.0,5.0,2.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,15.0,2.0,3.0,3.0,2.0,0
2013-11-12 00:00:00,5,23,A,1314,1,0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,11.0,7.0,0,3,3.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,4.0,8.0,2.0,2.0,1.0,2.0,1
2013-11-16 00:00:00,0,9,A,1314,1,0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,12.0,0,3,0.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,3.0,4.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,5.0,0.0,4.0,5.0,10.0,6.0,1.0,0.0,3.0,2.5,1
