Date,Time,HomeTeam,AwayTeam
2018-12-21 00:00:00,17:30,FC Koln,Bochum
2018-12-21 00:00:00,17:30,Sandhausen,Greuther Furth
2018-12-22 00:00:00,12:00,Arminia Bielefeld,Heidenheim
2018-12-22 00:00:00,12:00,Ingolstadt,Regensburg
2018-12-22 00:00:00,12:00,St. Pauli,Magdeburg
2018-12-23 00:00:00,12:30,Aue,Union Berlin
2018-12-23 00:00:00,12:30,Duisburg,SG Dynamo Dresden
2018-12-23 00:00:00,12:30,Holstein Kiel,Hamburger SV
2018-12-23 00:00:00,12:30,Paderborn,Darmstadt
2019-01-29 00:00:00,17:30,Bochum,Duisburg
2019-01-29 00:00:00,19:30,Darmstadt,St. Pauli
2019-01-29 00:00:00,19:30,Greuther Furth,Ingolstadt
2019-01-29 00:00:00,19:30,Magdeburg,Aue
2019-01-30 00:00:00,17:30,Regensburg,Paderborn
2019-01-30 00:00:00,19:30,Hamburger SV,Sandhausen
2019-01-30 00:00:00,19:30,Heidenheim,Holstein Kiel
2019-01-30 00:00:00,19:30,SG Dynamo Dresden,Arminia Bielefeld
2019-01-31 00:00:00,19:30,Union Berlin,FC Koln
2019-02-01 00:00:00,17:30,Duisburg,Darmstadt
2019-02-01 00:00:00,17:30,Ingolstadt,Magdeburg
2019-02-02 00:00:00,12:00,Arminia Bielefeld,Hamburger SV
2019-02-02 00:00:00,12:00,Heidenheim,SG Dynamo Dresden
2019-02-02 00:00:00,12:00,Paderborn,Greuther Furth
2019-02-03 00:00:00,12:30,Aue,FC Koln
2019-02-03 00:00:00,12:30,Holstein Kiel,Regensburg
2019-02-03 00:00:00,12:30,Sandhausen,Bochum
2019-02-04 00:00:00,19:30,St. Pauli,Union Berlin
2019-02-08 00:00:00,17:30,FC Koln,St. Pauli
2019-02-08 00:00:00,17:30,Regensburg,Arminia Bielefeld
2019-02-09 00:00:00,12:00,Bochum,Paderborn
2019-02-09 00:00:00,12:00,Greuther Furth,Duisburg
2019-02-09 00:00:00,12:00,Union Berlin,Sandhausen
2019-02-10 00:00:00,12:30,Aue,Ingolstadt
2019-02-10 00:00:00,12:30,Darmstadt,Heidenheim
2019-02-10 00:00:00,12:30,Magdeburg,Holstein Kiel
2019-02-11 00:00:00,19:30,Hamburger SV,SG Dynamo Dresden
2019-02-15 00:00:00,17:30,Paderborn,FC Koln
2019-02-15 00:00:00,17:30,Sandhausen,Darmstadt
2019-02-16 00:00:00,12:00,Duisburg,Union Berlin
2019-02-16 00:00:00,12:00,Heidenheim,Hamburger SV
2019-02-16 00:00:00,12:00,Ingolstadt,Bochum
2019-02-16 00:00:00,12:00,St. Pauli,Aue
